CountyID,CountyNames,AllAgesPovertyPercent
0,United States,13.4
48000,Texas,14.7
48001,Anderson County (TX),18.8
48003,Andrews County (TX),13
48005,Angelina County (TX),20
48007,Aransas County (TX),18.1
48009,Archer County (TX),10.1
48011,Armstrong County (TX),10.6
48013,Atascosa County (TX),16.9
48015,Austin County (TX),10.7
48017,Bailey County (TX),17.2
48019,Bandera County (TX),11.9
48021,Bastrop County (TX),11.5
48023,Baylor County (TX),17.7
48025,Bee County (TX),26.6
48027,Bell County (TX),13.8
48029,Bexar County (TX),15.6
48031,Blanco County (TX),10.6
48033,Borden County (TX),11
48035,Bosque County (TX),16
48037,Bowie County (TX),15.9
48039,Brazoria County (TX),9
48041,Brazos County (TX),23.9
48043,Brewster County (TX),14
48045,Briscoe County (TX),15.3
48047,Brooks County (TX),35
48049,Brown County (TX),16.8
48051,Burleson County (TX),16.6
48053,Burnet County (TX),10.4
48055,Caldwell County (TX),14.5
48057,Calhoun County (TX),16.3
48059,Callahan County (TX),14
48061,Cameron County (TX),27.7
48063,Camp County (TX),20.3
48065,Carson County (TX),8.5
48067,Cass County (TX),19
48069,Castro County (TX),17.2
48071,Chambers County (TX),9.5
48073,Cherokee County (TX),17.2
48075,Childress County (TX),20.3
48077,Clay County (TX),11.8
48079,Cochran County (TX),24.8
48081,Coke County (TX),13.3
48083,Coleman County (TX),25.2
48085,Collin County (TX),5.9
48087,Collingsworth County (TX),18
48089,Colorado County (TX),14.9
48091,Comal County (TX),8.9
48093,Comanche County (TX),15
48095,Concho County (TX),15.4
48097,Cooke County (TX),13
48099,Coryell County (TX),13.6
48101,Cottle County (TX),21.2
48103,Crane County (TX),11.7
48105,Crockett County (TX),16.8
48107,Crosby County (TX),22.3
48109,Culberson County (TX),22.1
48111,Dallam County (TX),11.5
48113,Dallas County (TX),14.8
48115,Dawson County (TX),21.7
48117,Deaf Smith County (TX),17.7
48119,Delta County (TX),17.5
48121,Denton County (TX),7.1
48123,DeWitt County (TX),18.8
48125,Dickens County (TX),21.2
48127,Dimmit County (TX),31.2
48129,Donley County (TX),19.9
48131,Duval County (TX),28.6
48133,Eastland County (TX),16.8
48135,Ector County (TX),13.5
48137,Edwards County (TX),22.6
48139,Ellis County (TX),8.5
48141,El Paso County (TX),21
48143,Erath County (TX),15.8
48145,Falls County (TX),27.6
48147,Fannin County (TX),12.9
48149,Fayette County (TX),10.8
48151,Fisher County (TX),14.7
48153,Floyd County (TX),20.2
48155,Foard County (TX),18
48157,Fort Bend County (TX),8
48159,Franklin County (TX),14.8
48161,Freestone County (TX),16.1
48163,Frio County (TX),27.9
48165,Gaines County (TX),15
48167,Galveston County (TX),12
48169,Garza County (TX),25.3
48171,Gillespie County (TX),10.9
48173,Glasscock County (TX),9.4
48175,Goliad County (TX),15.2
48177,Gonzales County (TX),16.7
48179,Gray County (TX),17
48181,Grayson County (TX),13.4
48183,Gregg County (TX),16.5
48185,Grimes County (TX),18
48187,Guadalupe County (TX),9.3
48189,Hale County (TX),19.9
48191,Hall County (TX),24
48193,Hamilton County (TX),16.1
48195,Hansford County (TX),11.9
48197,Hardeman County (TX),18
48199,Hardin County (TX),12.7
48201,Harris County (TX),15.9
48203,Harrison County (TX),17.3
48205,Hartley County (TX),8.9
